Date,Price
1985-06-28,0.443194
1985-07-01,0.443194
1985-07-02,0.461661
1985-07-03,0.461661
1985-07-05,0.470894
1985-07-08,0.452428
1985-07-09,0.443194
1985-07-10,0.452428
1985-07-11,0.461661
1985-07-12,0.461661
1985-07-15,0.461661
1985-07-16,0.498594
1985-07-17,0.51706
1985-07-18,0.498594
1985-07-19,0.498594
1985-07-22,0.498594
1985-07-23,0.507827
1985-07-24,0.507827
1985-07-25,0.526294
1985-07-26,0.535527
1985-07-29,0.54476
1985-07-30,0.535527
1985-07-31,0.553993
1985-08-01,0.57246
1985-08-02,0.586309
1985-08-05,0.57246
1985-08-06,0.553993
1985-08-07,0.535527
1985-08-08,0.563226
1985-08-09,0.57246
1985-08-12,0.57246
1985-08-13,0.581693
1985-08-14,0.586309
1985-08-15,0.586309
1985-08-16,0.581693
1985-08-19,0.563226
1985-08-20,0.535527
1985-08-21,0.535527
1985-08-22,0.535527
1985-08-23,0.581693
1985-08-26,0.581693
1985-08-27,0.581693
1985-08-28,0.586309
1985-08-29,0.609393
1985-08-30,0.609393
1985-09-03,0.609393
1985-09-04,0.600159
1985-09-05,0.586309
1985-09-06,0.609393
1985-09-09,0.609393
1985-09-10,0.600159
1985-09-11,0.586309
1985-09-12,0.600159
1985-09-13,0.600159
1985-09-16,0.600159
1985-09-17,0.553993
1985-09-18,0.586309
1985-09-19,0.600159
1985-09-20,0.600159
1985-09-23,0.600159
1985-09-24,0.600159
1985-09-25,0.600159
1985-09-26,0.57246
1985-09-30,0.535527
1985-10-01,0.535527
1985-10-02,0.553993
1985-10-03,0.54476
1985-10-04,0.535527
1985-10-07,0.507827
1985-10-08,0.48936
1985-10-09,0.480127
1985-10-10,0.480127
1985-10-11,0.498594
1985-10-14,0.526294
1985-10-15,0.507827
1985-10-16,0.507827
1985-10-17,0.51706
1985-10-18,0.526294
1985-10-21,0.526294
1985-10-22,0.526294
1985-10-23,0.526294
1985-10-24,0.526294
1985-10-25,0.526294
1985-10-28,0.526294
1985-10-29,0.526294
1985-10-30,0.54476
1985-10-31,0.54476
1985-11-01,0.535527
1985-11-04,0.535527
1985-11-05,0.535527
1985-11-06,0.54476
1985-11-07,0.54476
1985-11-08,0.553993
1985-11-11,0.581693
1985-11-12,0.618626
1985-11-13,0.600159
1985-11-14,0.618626
1985-11-15,0.637092
1985-11-18,0.637092
1985-11-19,0.641709
1985-11-20,0.655559
1985-11-21,0.683258
1985-11-22,0.720191
1985-11-25,0.720191
1985-11-26,0.747891
1985-11-27,0.752507
1985-11-29,0.784824
1985-12-02,0.784824
1985-12-03,0.83099
1985-12-04,0.877156
1985-12-05,0.904855
1985-12-06,0.83099
1985-12-09,0.83099
1985-12-10,0.849456
1985-12-11,0.849456
1985-12-12,0.858689
1985-12-13,0.858689
1985-12-16,0.895622
1985-12-17,0.886389
1985-12-18,0.858689
1985-12-19,0.858689
1985-12-20,0.840223
1985-12-23,0.840223
1985-12-24,0.858689
1985-12-26,0.863306
1985-12-27,0.877156
1985-12-30,0.877156
1985-12-31,0.914089
1986-01-02,0.960255
1986-01-03,0.951022
1986-01-06,0.914089
1986-01-07,0.914089
1986-01-08,0.918706
1986-01-09,0.877156
1986-01-10,0.877156
1986-01-13,0.858689
1986-01-14,0.821756
1986-01-15,0.83099
1986-01-16,0.83099
1986-01-17,0.83099
1986-01-20,0.840223
1986-01-21,0.858689
1986-01-22,0.807907
1986-01-23,0.784824
1986-01-24,0.80329
1986-01-27,0.807907
1986-01-28,0.877156
1986-01-29,0.904855
1986-01-30,0.904855
1986-01-31,0.904855
1986-02-03,0.914089
1986-02-04,0.914089
1986-02-05,0.914089
1986-02-06,0.914089
1986-02-07,0.858689
1986-02-10,0.858689
1986-02-11,0.904855
1986-02-12,0.960255
1986-02-13,0.997188
1986-02-14,1.098754
1986-02-18,1.098754
1986-02-19,1.080286
1986-02-20,1.084903
1986-02-21,1.135686
1986-02-24,1.084903
1986-02-25,1.080286
1986-02-26,1.071053
1986-02-27,1.071053
1986-02-28,1.071053
1986-03-03,1.015654
1986-03-04,1.029504
1986-03-05,1.015654
1986-03-06,0.997188
1986-03-07,0.969488
1986-03-10,0.969488
1986-03-11,0.987954
1986-03-12,1.006421
1986-03-13,1.006421
1986-03-14,1.015654
1986-03-17,1.015654
1986-03-18,1.006421
1986-03-19,1.006421
1986-03-20,1.015654
1986-03-21,0.992571
1986-03-24,0.969488
1986-03-25,0.969488
1986-03-26,0.941788
1986-03-27,0.951022
1986-03-31,0.932555
1986-04-01,0.918706
1986-04-02,0.914089
1986-04-03,0.914089
1986-04-04,0.895622
1986-04-07,0.877156
1986-04-08,0.904855
1986-04-09,0.960255
1986-04-10,0.960255
1986-04-11,0.960255
1986-04-14,0.969488
1986-04-15,0.969488
1986-04-16,1.015654
1986-04-17,1.029504
1986-04-18,1.098754
1986-04-21,1.098754
1986-04-22,1.098754
1986-04-23,1.103369
1986-04-24,1.107986
1986-04-25,1.107986
1986-04-28,1.135686
1986-04-29,1.126453
1986-04-30,1.098754
1986-05-01,1.071053
1986-05-02,1.080286
1986-05-05,1.084903
1986-05-06,1.080286
1986-05-07,1.140303
1986-05-08,1.218785
1986-05-09,1.237252
1986-05-12,1.237252
1986-05-13,1.246485
1986-05-14,1.228018
1986-05-15,1.140303
1986-05-16,1.126453
1986-05-19,1.154153
1986-05-20,1.154153
1986-05-21,1.163386
1986-05-22,1.181852
1986-05-23,1.181852
1986-05-27,1.163386
1986-05-28,1.172618
1986-05-29,1.172618
1986-05-30,1.209552
1986-06-02,1.246485
1986-06-03,1.29265
1986-06-04,1.306501
1986-06-05,1.32035
1986-06-06,1.361899
1986-06-09,1.306501
1986-06-10,1.283417
1986-06-11,1.274184
1986-06-12,1.274184
1986-06-13,1.29265
1986-06-16,1.29265
1986-06-17,1.29265
1986-06-18,1.283417
1986-06-19,1.306501
1986-06-20,1.338817
1986-06-23,1.283417
1986-06-24,1.29265
1986-06-25,1.32035
1986-06-26,1.357283
1986-06-27,1.403449
1986-06-30,1.486548
1986-07-01,1.403449
1986-07-02,1.412683
1986-07-03,1.412683
1986-07-07,1.348049
1986-07-08,1.283417
1986-07-09,1.32035
1986-07-10,1.338817
1986-07-11,1.338817
1986-07-14,1.283417
1986-07-15,1.135686
1986-07-16,1.172618
1986-07-17,1.191086
1986-07-18,1.154153
1986-07-21,1.126453
1986-07-22,1.098754
1986-07-23,1.126453
1986-07-24,1.126453
1986-07-25,1.084903
1986-07-28,0.974104
1986-07-29,0.974104
1986-07-30,0.987954
1986-07-31,0.997188
1986-08-01,0.997188
1986-08-04,0.951022
1986-08-05,0.969488
1986-08-06,0.969488
1986-08-07,0.969488
1986-08-08,0.987954
1986-08-11,1.06182
1986-08-12,1.117219
1986-08-13,1.126453
1986-08-14,1.191086
1986-08-15,1.237252
1986-08-18,1.283417
1986-08-19,1.264951
1986-08-20,1.306501
1986-08-21,1.29265
1986-08-22,1.301884
1986-08-25,1.274184
1986-08-26,1.29265
1986-08-27,1.264951
1986-08-28,1.264951
1986-08-29,1.264951
1986-09-02,1.264951
1986-09-03,1.246485
1986-09-04,1.264951
1986-09-05,1.251101
1986-09-08,1.237252
1986-09-09,1.237252
1986-09-10,1.228018
1986-09-11,1.126453
1986-09-12,1.107986
1986-09-15,1.098754
1986-09-16,1.080286
1986-09-17,1.135686
1986-09-18,1.135686
1986-09-19,1.191086
1986-09-22,1.195702
1986-09-23,1.209552
1986-09-24,1.209552
1986-09-25,1.181852
1986-09-26,1.140303
1986-09-29,1.140303
1986-09-30,1.191086
1986-10-01,1.191086
1986-10-02,1.172618
1986-10-03,1.181852
1986-10-06,1.181852
1986-10-07,1.181852
1986-10-08,1.181852
1986-10-09,1.186469
1986-10-10,1.181852
1986-10-13,1.181852
1986-10-14,1.191086
1986-10-15,1.191086
1986-10-16,1.228018
1986-10-17,1.228018
1986-10-20,1.218785
1986-10-21,1.237252
1986-10-22,1.264951
1986-10-23,1.283417
1986-10-24,1.348049
1986-10-27,1.329584
1986-10-28,1.348049
1986-10-29,1.403449
1986-10-30,1.403449
1986-10-31,1.361899
1986-11-03,1.348049
1986-11-04,1.384983
1986-11-05,1.403449
1986-11-06,1.394216
1986-11-07,1.394216
1986-11-10,1.403449
1986-11-11,1.403449
1986-11-12,1.394216
1986-11-13,1.357283
1986-11-14,1.348049
1986-11-17,1.361899
1986-11-18,1.357283
1986-11-19,1.329584
1986-11-20,1.338817
1986-11-21,1.361899
1986-11-24,1.403449
1986-11-25,1.431149
1986-11-26,1.468082
1986-11-28,1.468082
1986-12-01,1.412683
1986-12-02,1.449615
1986-12-03,1.458848
1986-12-04,1.440382
1986-12-05,1.412683
1986-12-08,1.412683
1986-12-09,1.394216
1986-12-10,1.412683
1986-12-11,1.412683
1986-12-12,1.403449
1986-12-15,1.394216
1986-12-16,1.37575
1986-12-17,1.37575
1986-12-18,1.37575
1986-12-19,1.412683
1986-12-22,1.417299
1986-12-23,1.412683
1986-12-24,1.412683
1986-12-26,1.403449
1986-12-29,1.412683
1986-12-30,1.417299
1986-12-31,1.417299
1987-01-02,1.440382
1987-01-05,1.449615
1987-01-06,1.541947
1987-01-07,1.597347
1987-01-08,1.652746
1987-01-09,1.652746
1987-01-12,1.680446
1987-01-13,1.740461
1987-01-14,1.749695
1987-01-15,1.795861
1987-01-16,1.763545
1987-01-19,1.823561
1987-01-20,1.768162
1987-01-21,1.791244
1987-01-22,1.805094
1987-01-23,1.805094
1987-01-26,1.805094
1987-01-27,1.818944
1987-01-28,1.874344
1987-01-29,1.823561
1987-01-30,1.846643
1987-02-02,2.012842
1987-02-03,2.12364
1987-02-04,2.059009
1987-02-05,1.985142
1987-02-06,1.957442
1987-02-09,1.860493
1987-02-10,1.846643
1987-02-11,1.989758
1987-02-12,1.989758
1987-02-13,2.12364
1987-02-17,2.345237
1987-02-18,2.303688
1987-02-19,2.289838
1987-02-20,2.289838
1987-02-23,2.211356
1987-02-24,2.359088
1987-02-25,2.543752
1987-02-26,2.57145
1987-02-27,2.525286
1987-03-02,2.488353
1987-03-03,2.432953
1987-03-04,2.636084
1987-03-05,2.622234
1987-03-06,2.599153
1987-03-09,2.566834
1987-03-10,2.677633
1987-03-11,2.622234
1987-03-12,2.636084
1987-03-13,2.566834
1987-03-16,2.543752
1987-03-17,2.654551
1987-03-18,2.691484
1987-03-19,2.848449
1987-03-20,2.843831
1987-03-23,2.857681
1987-03-24,2.802282
1987-03-25,2.91308
1987-03-26,3.116212
1987-03-27,3.190077
1987-03-30,3.10236
1987-03-31,3.407058
1987-04-01,3.545556
1987-04-02,3.490157
1987-04-03,3.379358
1987-04-06,3.157761
1987-04-07,3.10236
1987-04-08,3.21316
1987-04-09,3.157761
1987-04-10,3.046962
1987-04-13,2.880765
1987-04-14,2.825366
1987-04-15,2.880765
1987-04-16,3.046962
1987-04-20,2.880765
1987-04-21,2.908463
1987-04-22,2.991563
1987-04-23,2.936164
1987-04-24,2.936164
1987-04-27,2.853065
1987-04-28,2.769966
1987-04-29,2.936164
1987-04-30,3.046962
1987-05-01,3.157761
1987-05-04,3.046962
1987-05-05,3.046962
1987-05-06,2.991563
1987-05-07,2.991563
1987-05-08,2.991563
1987-05-11,3.046962
1987-05-12,2.991563
1987-05-13,2.991563
1987-05-14,3.046962
1987-05-15,3.074661
1987-05-18,3.019263
1987-05-19,2.936164
1987-05-20,2.825366
1987-05-21,2.825366
1987-05-22,2.825366
1987-05-26,2.825366
1987-05-27,2.825366
1987-05-28,2.880765
1987-05-29,2.825366
1987-06-01,2.659167
1987-06-02,2.686867
1987-06-03,2.769966
1987-06-04,2.811515
1987-06-05,2.769966
1987-06-08,2.769966
1987-06-09,2.742267
1987-06-10,2.631467
1987-06-11,2.659167
1987-06-12,2.631467
1987-06-15,2.548369
1987-06-16,2.714567
1987-06-17,2.797665
1987-06-18,2.714567
1987-06-19,2.714567
1987-06-22,2.769966
1987-06-23,2.880765
1987-06-24,2.936164
1987-06-25,2.825366
1987-06-26,2.825366
1987-06-29,2.880765
1987-06-30,2.797665
1987-07-01,2.769966
1987-07-02,2.631467
1987-07-06,2.299071
1987-07-07,2.326771
1987-07-08,2.326771
1987-07-09,2.299071
1987-07-10,2.326771
1987-07-13,2.49297
1987-07-14,2.603768
1987-07-15,2.465269
1987-07-16,2.548369
1987-07-17,2.603768
1987-07-20,2.465269
1987-07-21,2.326771
1987-07-22,2.43757
1987-07-23,2.354471
1987-07-24,2.326771
1987-07-27,2.382171
